Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mozambique,MOZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.138295809,3.734313551,4.037785691,4.787472359,3.346551855,4.447452011,4.174322974,1.471585754,-0.497934417,0.47984361,-0.593438075,-4.04764248,-0.491286747,1.53490339,2.125970864
Mozambique,MOZ,Population density (people per sq. km of land area),EN.POP.DNST,28.53157507,29.34169613,30.21493553,31.13966657,32.11135965,33.11211374,34.13520944,35.22024085,36.33032503,37.41686971,38.51267199,39.64780259,40.79080343,..,..
Mozambique,MOZ,Population growth (annual %),SP.POP.GROW,2.669802746,2.799820936,2.932677561,3.014610299,3.072739164,3.068933869,3.043019717,3.129155499,3.103185139,2.946887151,2.886566535,2.904819659,2.842112349,2.744193061,2.775352062
Mozambique,MOZ,"Population, total",SP.POP.TOTL,22436660,23073723,23760421,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518,33897354
Mozambique,MOZ,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,83.1,..,..,..,..,88.6,..,..,..,..
Mozambique,MOZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,64.6,..,..,..,..,74.5,..,..,..,..
Mozambique,MOZ,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..,..,..,..,..,..,..,..,..,..,61.9,..,..,..,..
Mozambique,MOZ,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,..,..,..,..,..,29.4,..,..,..,..,37.5,..,..,..,..
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,7352131310,7851192502,8772950778,9426912648,10224897438,10862943544,9683867926,10398861982,11185104252,12837307497,12889555561,13744653103,14915002436,15433852712,16819170421
Niger,NER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.962600907,8.578166743,2.357756936,10.54894458,5.315130634,6.642136655,4.392648832,5.740893151,5.005360786,7.211418028,5.939852571,3.550641094,1.383596362,11.9,2.5
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,458.4218902,471.612688,507.6024953,525.0472849,548.1578488,560.7544752,481.1113011,497.0361208,514.543398,568.5996597,549.8161278,564.8416623,590.6294948,588.8990483,618.287229
Niger,NER,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.742225191,4.602067048,-1.406346266,6.415644393,1.36978213,2.68508978,0.471154424,1.729851533,1.06279579,3.226622468,2.024915763,-0.237758332,-2.306300509,7.821354994,-1.248643662
Niger,NER,Population density (people per sq. km of land area),EN.POP.DNST,12.66117865,13.14245125,13.64420305,14.17415884,14.72582222,15.29329281,15.89020605,16.51673088,17.16106576,17.82352412,18.5074548,19.2102621,19.93583485,..,..
Niger,NER,Population growth (annual %),SP.POP.GROW,3.701170774,3.730703151,3.746720178,3.810576037,3.818205941,3.78117877,3.828859384,3.867091205,3.826933982,3.787596499,3.765444885,3.727100725,3.707423785,3.712987818,3.725765982
Niger,NER,"Population, total",SP.POP.TOTL,16037915,16647543,17283112,17954407,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722,26207977,27202843
Niger,NER,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,88.3,..,..,82.4,..,..,..,81.2,..,..,83.1,..,..
Niger,NER,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,60.6,..,..,53.6,..,..,..,50.9,..,..,50.6,..,..
Niger,NER,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..,..,..,91,..,..,..,..,..,..,..,..,..,..,..
Niger,NER,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,..,..,19.2,..,..,18.1,..,..,..,15.5,..,..,14.3,..,..
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,5674476707,6124756894,6884912957,7654762345,7819963627,8238966247,8543759089,8695272095,9252834120,9637904553,10349299856,10174387614,11069280277,13316160804,14097768648
Rwanda,RWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.248265246,7.334654787,7.958385419,8.641506707,4.719848831,6.167160273,8.856864687,5.970741188,3.91816565,8.516468306,9.44739159,-3.37369377,10.85796719,8.157734403,8.241286965
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,564.9766324,594.1156734,650.9366759,706.1371305,704.4155555,724.7219737,733.8133793,728.8027579,756.5476411,769.0753443,806.332472,773.9318006,822.2680412,966.5712933,1000.218923
Rwanda,RWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.479422614,4.572490243,5.223929017,6.001699654,2.257665758,3.672769905,6.290328104,3.413246131,1.373898028,5.905963008,6.861761229,-5.662011589,8.259626527,5.686232424,5.799294787
Rwanda,RWA,Population density (people per sq. km of land area),EN.POP.DNST,407.1235103,417.8772193,428.7366032,439.4136198,449.9939197,460.8208756,471.9480746,483.6197406,495.7575598,507.9776246,520.2686664,532.8886096,545.6784759,..,..
Rwanda,RWA,Population growth (annual %),SP.POP.GROW,2.640570296,2.607105103,2.565509609,2.459840406,2.37929152,2.377534023,2.385955685,2.44299699,2.478807852,2.435038415,2.390794366,2.39670705,2.371751548,2.311603239,2.281901984
Rwanda,RWA,"Population, total",SP.POP.TOTL,10043737,10309031,10576932,10840334,11101350,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888,13776698,14094683
Rwanda,RWA,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,82.3,..,..,79.7,..,..,78,..,..,..,..,..,..,..
Rwanda,RWA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,59.2,..,..,53.7,..,..,52,..,..,..,..,..,..,..
Rwanda,RWA,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..,..,..,..,..,..,..,..,..,..,48.8,..,..,..,..
Rwanda,RWA,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,..,22.8,..,..,18.7,..,..,18.3,..,..,..,..,..,..,..
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,2419014960,2578159804,2932274309,3789251613,4920343317,5015180725,4252029354,3862721266,3719443418,4085114388,4076578699,4062906266,4249234704,4094563859,3809832237
